시설명,분점명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,블로그 주소,페이스북 주소,인스타 주소,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,입장료 유무 여부,입장 가능 나이,가족 화장실 보유 여부,수유실 보유 여부,유모차 대여 여부,키즈존 여부,최종작성일
3.15의거발원지기념관,,전시/공연,전시/기념관,기타전시/박물관,경상남도,창원시 마산합포구,오동동,,165-7 번지,문화의길,54 번,35.20709,128.5772752,51727,경상남도 창원시 마산합포구 문화의길 54,경상남도 창원시 마산합포구 오동동 165-7,055-245-3150,정보없음,https://blog.naver.com/315_changwon,정보없음,정보없음,월요일,09:00~18:00,N,Y,N,연령제한없음,N,Y,N,Y,2022-10-31
3.1순국기념관,,전시/공연,전시/기념관,대형기념관/묘역,경기도,화성시,향남읍,제암리,392-2 번지,제암길,50 번,37.12630809,126.8915958,18595,경기도 화성시 향남읍 제암길 50,경기도 화성시 향남읍 제암리 392-2,031-366-1604,https://www.jeam.or.kr/html/?pmode=main,정보없음,정보없음,정보없음,"월요일(공휴일인 경우 다음날), 1월 1일, 명절 당일",10:00~18:00 (입장마감 17:00),Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
3.1운동기념관,,전시/공연,전시/기념관,대형기념관/묘역,경기도,안성시,원곡면,칠곡리,2-18 번지,만세로,868 번,37.06278466,127.1752952,17555,경기도 안성시 원곡면 만세로 868,경기도 안성시 원곡면 칠곡리 2-18,031-678-2475,https://www.anseong.go.kr/tourPortal/41/main.do,정보없음,정보없음,정보없음,"월요일(공휴일인 경우 다음날), 1월 1일, 명절 당일",09:00~18:00(17:00까지 입장),Y,N,N,연령제한없음,Y,N,Y,Y,2022-10-31
3.1의거기념관,,전시/공연,전시/기념관,대형기념관/묘역,경상북도,포항시 북구,송라면,대전리,281 번지,대전길120번길,24 번,36.25369793,129.355422,37510,경상북도 포항시 북구 송라면 대전길120번길 24,경상북도 포항시 북구 송라면 대전리 281,054-262-0513,https://pohang.go.kr/phtour/9297/subview.do?enc=Zm5jdDF8QEB8JTJGdG91ckluZm8lMkZwaHRvdXIlMkY3JTJGMzglMkZ0b3VyVmlldy5kbyUzRnBhZ2UlM0QxJTI2c3JjaENvbHVtbiUzRCUyNnNyY2hXcmQlM0QlMjY%3D,정보없음,정보없음,정보없음,"월요일, 공휴일, 명절",09:00~18:00,Y,N,N,연령제한없음,Y,N,N,Y,2022-10-31
313아트프로젝트,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,성북구,성북동,,286-5 번지,성북로31길,34 번,37.59501819,126.9892724,02878,서울특별시 성북구 성북로31길 34,서울특별시 성북구 성북동 286-5,02-3446-3137,http://313artproject.com/,정보없음,정보없음,https://www.instagram.com/313artproject/,"일요일, 월요일",11:00~17:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
365계단,,문화관광/명소,관광지,N,전라남도,영광군,백수읍,대신리,산234-11 번지,,,35.36445864,126.3960266,57025,,전라남도 영광군 백수읍 대신리 산 234-11,,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
365세이프타운,,문화관광/명소,관광지,테마공원/대형놀이공원,강원도,태백시,장성동,,31-2 번지,평화길,15 번,37.1025746,129.025226,26047,강원도 태백시 평화길 15,강원도 태백시 장성동 31-2,0507-1495-7915,https://www.taebaek.go.kr/365safetown/index.do,정보없음,정보없음,정보없음,월요일(공휴일인 경우 다음 평일),09:00~18:00(16시 이후 입장시 시간관계상 일부 체험관 이용 불가),Y,N,Y,연령제한없음,Y,Y,Y,Y,2022-10-31
3D과학체험관,,전시/공연,전시/기념관,기타전시/박물관,경상남도,양산시,주진동,,산63-20 번지,웅상대로,1009-1 번,35.38987046,129.1557582,50520,경상남도 양산시 웅상대로 1009-1,경상남도 양산시 주진동 산 63-20,055-392-5608,http://3d.yangsan.go.kr/,정보없음,정보없음,정보없음,월요일,"10:00~12:00, 13:00~15:00, 15:30~17:30",Y,N,N,연령제한없음,N,Y,N,Y,2022-10-31
3RDMUSEUM,,전시/공연,전시/기념관,미술관,서울특별시,마포구,서교동,,395-12 번지,잔다리로3길,4 번,37.55163429,126.9191128,04043,서울특별시 마포구 잔다리로3길 4,서울특별시 마포구 서교동 395-12,,http://www.thirdmuseum.com,정보없음,https://www.facebook.com/3rdmuseum.official,https://www.instagram.com/thirdmuseum_official/,"월요일, 공휴일",10:00~19:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
4.16기억전시관,,전시/공연,전시/기념관,기타전시/박물관,경기도,안산시 단원구,고잔동,,661-3 번지,인현중앙길,38 번,37.32516183,126.8214018,15343,경기도 안산시 단원구 인현중앙길 38,경기도 안산시 단원구 고잔동 661-3,031-411-7372,http://www.416memory.org/,정보없음,https://www.facebook.com/416archives,정보없음,주말,09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
4.19기념관,,전시/공연,전시/기념관,대형기념관/묘역,서울특별시,강북구,수유동,,산7-1 번지,4.19로8길,17 번,37.64839067,127.0090713,01009,서울특별시 강북구 4.19로8길 17,서울특별시 강북구 수유동 산 7-1,02-996-0419,https://www.mpva.go.kr/419/index.do,정보없음,정보없음,정보없음,"월요일, 국공휴일","[11~2월] 09:30~16:30, [3~10월] 09:30~17:30",Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
4.19혁명기념회관,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,종로구,평동,,166 번지,새문안로,17 번,37.56744493,126.9676938,03181,서울특별시 종로구 새문안로 17,서울특별시 종로구 평동 166,02-737-9556,정보없음,정보없음,정보없음,정보없음,일요일,08:00~22:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
40계단거리,,문화관광/명소,관광지,유명관광지,부산광역시,중구,중앙동4가,,,,,35.10338417,129.0356358,,,부산광역시 중구 중앙동4가,051-600-4044,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
40계단문화관,,전시/공연,전시/기념관,대형기념관/묘역,부산광역시,중구,동광동,,44-3 번지,동광길,49 번,35.10500721,129.0344802,48927,부산광역시 중구 동광길 49,부산광역시 중구 동광동5가 44-3,051-600-4046,https://www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000208001001000&link=success&cpath=%2Ftour,정보없음,정보없음,정보없음,"월요일, 국경일, 명절","평일 10:00~18:00, 주말 10:00~17:00",Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
4차산업혁명체험센터,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,성동구,행당동,,378 번지,살곶이길,327 번,37.55467447,127.0404902,04765,서울특별시 성동구 살곶이길 327,서울특별시 성동구 행당동 378,02-2286-7811,https://sdfic.sd.go.kr/,정보없음,정보없음,정보없음,주말,09:00~18:00,Y,N,N,연령제한없음,N,Y,N,Y,2022-10-31
5.18기념문화센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,광주광역시,서구,쌍촌동,,1268 번지,내방로,152 번,35.15830536,126.8575559,61965,광주광역시 서구 내방로 152,광주광역시 서구 쌍촌동 1268,062-376-5197,https://www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,정보없음,정보없음,정보없음,연중무휴,07:00~22:00,Y,N,N,연령제한없음,N,Y,N,Y,2022-10-31
5.18기념문화회관민주홀,,전시/공연,영화/연극/공연,공연/연극/문화센터,광주광역시,서구,쌍촌동,,1268 번지,내방로,152 번,35.15830536,126.8575559,61965,광주광역시 서구 내방로 152,광주광역시 서구 쌍촌동 1268,062-376-5197,https://www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,정보없음,정보없음,정보없음,연중무휴,07:00~22:00,Y,N,N,연령제한없음,N,Y,N,Y,2022-10-31
5.18민주화운동기록관,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,동구,충장동,,3-5 번지,금남로,221 번,35.14956323,126.9167556,61475,광주광역시 동구 금남로 221,광주광역시 동구 금남로3가 3-5,062-613-8204,http://518archives.go.kr/,정보없음,정보없음,정보없음,"월요일(공휴일이면 다음날), 공휴일",09:00~18:00,Y,Y,N,연령제한없음,N,N,N,Y,2022-10-31
55아트센터,,전시/공연,전시/기념관,기타전시/박물관,전라남도,무안군,일로읍,복룡리,814-1 번지,사교길,3 번,34.87622164,126.5177955,58571,전라남도 무안군 일로읍 사교길 3,전라남도 무안군 일로읍 복룡리 814-1,061-281-5570,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,N,2022-10-31
5월5일공방,,전시/공연,영화/연극/공연,N,경기도,고양시 일산서구,법곳동,,1185-1 번지,법곳길,368 번,37.67271123,126.7006329,10203,경기도 고양시 일산서구 법곳길 368,경기도 고양시 일산서구 법곳동 1185-1,,정보없음,https://blog.naver.com/mayfifth55,정보없음,정보없음,정보없음,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
6.25전쟁납북자기념관,,전시/공연,전시/기념관,대형기념관/묘역,경기도,파주시,문산읍,사목리,477-1 번지,임진각로,153 번,37.88897896,126.7432088,10808,경기도 파주시 문산읍 임진각로 153,경기도 파주시 문산읍 사목리 477-1,031-930-6000,https://www.abductions625.go.kr/index.do,정보없음,정보없음,정보없음,"월요일, 주중 공휴일, 명절(당일은 개관)","[3~10월] 09:30~17:30, [11~2월] 10:00~17:00",Y,N,N,연령제한없음,Y,Y,N,Y,2022-10-31
6.25전쟁체험전시관,,전시/공연,전시/기념관,기타전시/박물관,강원도,고성군,현내면,명호리,88-8 번지,통일전망대로,453 번,38.58407952,128.3736792,24701,강원도 고성군 현내면 통일전망대로 453,강원도 고성군 현내면 명호리 88-8,033-682-6625,정보없음,정보없음,정보없음,정보없음,연중무휴,"09:00~16:20 봄, 가을, 09:00~17:30 여름, 09:00~15:50 겨울",N,Y,Y,연령제한없음,N,N,N,Y,2022-10-31
63빌딩63스카이아트미술관,,전시/공연,전시/기념관,미술관,서울특별시,영등포구,여의도동,,60 번지,63로,50 번,37.51966416,126.9399093,07345,서울특별시 영등포구 63로 50,서울특별시 영등포구 여의도동 60,02-789-5663,https://www.63art.co.kr/home/63ART/main.do,정보없음,정보없음,정보없음,연중무휴,10:00~20:00,N,Y,Y,연령제한없음,Y,Y,Y,Y,2022-10-31
777레지던스,,전시/공연,전시/기념관,미술관,경기도,양주시,장흥면,일영리,50 번지,권율로,103-1 번,37.72426086,126.948172,11520,경기도 양주시 장흥면 권율로 103-1,경기도 양주시 장흥면 일영리 50,031-8082-4246,https://www.yangju.go.kr/changucchin/contents.do?key=2019,정보없음,https://www.facebook.com/777yangju/,정보없음,월요일,10:00~18:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
77수족관,,문화관광/명소,관광지,아쿠아리움/대형수족관,경상북도,포항시 북구,죽도동,,35-34 번지,중앙로,186 번,36.02960372,129.367037,37787,경상북도 포항시 북구 중앙로 186,경상북도 포항시 북구 죽도동 35-34,054-282-7755,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
9.81파크,,문화관광/명소,관광지,테마공원/대형놀이공원,제주특별자치도,제주시,애월읍,어음리,산131 번지,천덕로,880-24 번,33.39003694,126.366509,63038,제주특별자치도 제주시 애월읍 천덕로 880-24,제주특별자치도 제주시 애월읍 어음리 산 131,1833-9810,http://www.981park.com,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,Y,연령제한없음,N,Y,N,Y,2022-10-31
93뮤지엄,,전시/공연,전시/기념관,미술관,경기도,파주시,탄현면,법흥리,1652-115 번지,헤이리마을길,59-58 번,37.78979276,126.6963307,10859,경기도 파주시 탄현면 헤이리마을길 59-58,경기도 파주시 탄현면 법흥리 1652-115,031-948-6677,http://www.galleryfocus.co.kr/,정보없음,정보없음,정보없음,월요일,"동절기 09:00~17:00, 하절기 09:00~18:00",Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
가계해수욕장,,문화관광/명소,관광지,해수욕장,전라남도,진도군,고군면,금계리,153 번지,,,34.44637135,126.3518047,,,전라남도 진도군 고군면 금계리 153,061-540-6605,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
가나1아뜰리에,,전시/공연,전시/기념관,미술관,경기도,양주시,장흥면,일영리,6-1 번지,권율로,139 번,37.72666259,126.9500866,11520,경기도 양주시 장흥면 권율로 139,경기도 양주시 장흥면 일영리 6-1,0507-1352-5802,http://www.jhatelier.com/,정보없음,정보없음,정보없음,매월 둘째주 금요일을 제외한 모든 날,둘째주 금요일 10:00~20:00,Y,N,Y,연령제한없음,Y,N,N,Y,2022-10-31
가나미디어,,전시/공연,영화/연극/공연,N,서울특별시,종로구,연지동,,136-46 번지,대학로,19 번,37.57292514,127.0016198,03129,서울특별시 종로구 대학로 19,서울특별시 종로구 연지동 136-46,02-3477-9923,http://canaav.co.kr/skin_mw2/,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
가나아트센터,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,종로구,평창동,,97 번지,평창30길,28 번,37.61224471,126.9751822,03004,서울특별시 종로구 평창30길 28,서울특별시 종로구 평창동 97,0507-1402-5011,https://www.ganaart.com/,정보없음,정보없음,https://www.instagram.com/ganaart_seoul/,월요일,10:00~19:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
가나아트파크,,전시/공연,전시/기념관,미술관,경기도,양주시,장흥면,일영리,6-7 번지,권율로,117 번,37.72583554,126.9493324,11520,경기도 양주시 장흥면 권율로 117,경기도 양주시 장흥면 일영리 6-7,0507-1437-0500,http://www.artpark.co.kr/,정보없음,http://www.facebook.com/ganaartpark,http://www.instagram.com/ganaartpark,월요일(공휴일인 경우 익일 휴관),"평일 10:30~18:00, 주말 10:00~18:00",Y,N,Y,연령제한없음,Y,N,N,Y,2022-10-31
가나엔터프라이즈,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,서구,치평동,,893-1 번지,,,35.15071637,126.8354298,61955,,광주광역시 서구 치평동 893-1,,http://gana2.com/,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
가는게해수욕장,,문화관광/명소,관광지,해수욕장,전라남도,신안군,도초면,지남리,,,,34.68778767,125.9290084,,,전라남도 신안군 도초면 지남리,,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
가든스테이지,,전시/공연,영화/연극/공연,N,부산광역시,기장군,기장읍,시랑리,산46 번지,동부산관광로,42 번,35.19606181,129.2132069,46083,부산광역시 기장군 기장읍 동부산광역시관광로 42,부산광역시 기장군 기장읍 시랑리 산 46,1661-2000,http://www.lotteworld.com,정보없음,정보없음,정보없음,연중무휴,정보없음,N,Y,Y,연령제한없음,N,Y,Y,Y,2022-10-31
가람문학관,,전시/공연,전시/기념관,기타전시/박물관,전라북도,익산시,여산면,원수리,575-2 번지,가람1길,76 번,36.03531462,127.0844811,54520,전라북도 익산시 여산면 가람1길 76,전라북도 익산시 여산면 원수리 575-2,063-832-1891,정보없음,정보없음,정보없음,정보없음,"월요일, 1월 1일, 명절",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
가람신작,,전시/공연,영화/연극/공연,공연/연극/문화센터,충청북도,청주시 상당구,수동,,230-13 번지,대성로122번길,27-2 번,36.63659967,127.4939221,28518,충청북도 청주시 상당구 대성로122번길 27-2,충청북도 청주시 상당구 수동 230-13,043-222-5911,https://www.cbfc.or.kr/home/main.php,정보없음,정보없음,https://www.instagram.com/garamsinjak/,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
가람아트홀,,전시/공연,영화/연극/공연,대형예술센터,부산광역시,남구,대연동,,965-2 번지,유엔평화로76번길,26 번,35.12771884,129.0927865,48533,부산광역시 남구 유엔평화로76번길 26,부산광역시 남구 대연동 965-2,,https://garamarthall.modoo.at/,정보없음,정보없음,https://www.instagram.com/garamarthall/,공연별 상이,공연별 상이,Y,N,Y,수유할 연령의 나이 제외,N,N,N,Y,2022-10-31
가람유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,경기도,가평군,북면,적목리,산131-11 번지,논남기길,277 번,37.96499735,127.4329018,12400,경기도 가평군 북면 논남기길 277,경기도 가평군 북면 적목리 산 131-11,,http://kbs1.kr/h/garampsywj/mobile/index.htmm,정보없음,정보없음,정보없음,연중무휴,"방갈로 06:00~18:00, 숙박 입실 14:00, 퇴실 11:00",Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
가람화랑,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,종로구,관훈동,,30-10 번지,인사동10길,11 번,37.57428279,126.9856136,03146,서울특별시 종로구 인사동10길 11,서울특별시 종로구 관훈동 30-10,0507-1332-6170,정보없음,https://blog.naver.com/garamgallery,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
가리산자연휴양림,,문화관광/명소,관광지,휴양림/수목원,강원도,홍천군,두촌면,천현리,산134-1 번지,모르골길,179-22 번,37.86589954,127.9988125,25164,강원도 홍천군 두촌면 모르골길 179-22,강원도 홍천군 두촌면 천현리 산 134-1,033-435-6035,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030002,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,Y,연령제한없음,N,N,N,Y,2022-10-31
가림미술관,,전시/공연,전시/기념관,미술관,경기도,가평군,설악면,가일리,202 번지,어비산길,21-60 번,37.60089276,127.4963733,12473,경기도 가평군 설악면 어비산길 21-60,경기도 가평군 설악면 가일리 202,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,N,2022-10-31
가마골소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,연제구,거제동,,18-22 번지,월드컵대로,190 번,35.18835625,129.0761228,47521,부산광역시 연제구 월드컵대로 190,부산광역시 연제구 거제동 18-22,051-723-0568,https://kamagol.modoo.at/,정보없음,정보없음,정보없음,"월요일, 공휴일에도 공연이있으면 개장함",09:00~22:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
가마미해수욕장,,문화관광/명소,관광지,해수욕장,전라남도,영광군,홍농읍,계마리,799-1 번지,가마미로,341-6 번,35.3975604,126.407991,57000,전라남도 영광군 홍농읍 가마미로 341-6,전라남도 영광군 홍농읍 계마리 799-1,061-356-1020,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
가마섬,,문화관광/명소,관광지,일반유원지/일반놀이공원,경기도,여주시,점동면,현수리,555-12 번지,현수리길,30 번,37.18829938,127.6841762,12668,경기도 여주시 점동면 현수리길 30,경기도 여주시 점동면 현수리 555-12,,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
가마터갤러리,,전시/공연,전시/기념관,미술관,경기도,양평군,서종면,도장리,87-15 번지,중미산로,465 번,37.604066,127.392614,12501,경기도 양평군 서종면 중미산로 465,경기도 양평군 서종면 도장리 87-15,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,N,2022-10-31
가막유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,전라북도,진안군,진안읍,가막리,298 번지,,,35.806548,127.5159686,55420,,전라북도 진안군 진안읍 가막리 298,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
가배량성,,문화관광/명소,명승지,성/성터,경상남도,거제시,동부면,가배리,산17-1 번지,,,34.78167689,128.5715578,53330,,경상남도 거제시 동부면 가배리 산 17-1,055-639-3404,http://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=2333801100000,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
가사동백숲해변,,문화관광/명소,관광지,해수욕장,전라남도,완도군,약산면,해동리,,,,34.41311053,126.9524143,,,전라남도 완도군 약산면 해동리,061-550-5423,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
가산박물관,,전시/공연,전시/기념관,기타전시/박물관,충청북도,옥천군,안내면,용촌리,221 번지,안내회남로,310-5 번,36.40466701,127.6218972,29005,충청북도 옥천군 안내면 안내회남로 310-5,충청북도 옥천군 안내면 용촌리 221,043-733-9129,정보없음,정보없음,정보없음,정보없음,연중무휴,09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
가산산성,,문화관광/명소,명승지,성/성터,경상북도,칠곡군,가산면,가산리,1211-2 번지,,,36.03477653,128.5830245,39853,,경상북도 칠곡군 가산면 가산리 1211-2,054-979-6452,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?searchCondition=&searchCondition2=&ccbaKdcd=13&ccbaAsno=02160000&ccbaCtcd=37&ccbaCpno=1333702160000&ccbaGcode=CA&ccbaBcode=03&ccbaMcode=02&culPageNo=6&header=div&returnUrl=%2Fheri%2Fcul%2FculSelectDivList.do&pageNo=1_1_3_0,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
가산오광대전수교육관,,전시/공연,전시/기념관,기타전시/박물관,경상남도,사천시,축동면,가산리,830-2 번지,조창길,187-28 번,35.08460555,128.0402639,52509,경상남도 사천시 축동면 조창길 187-28,경상남도 사천시 축동면 가산리 830-2,055-831-2727,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,N,2022-10-31
가산화랑,,전시/공연,전시/기념관,기타전시/박물관,경기도,성남시 분당구,구미동,,274-1 번지,구미로,186 번,37.34355388,127.1274382,13622,경기도 성남시 분당구 구미로 186,경기도 성남시 분당구 구미동 274-1,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
가섭산테마공원(2023년1월예정),,문화관광/명소,관광지,테마공원/대형놀이공원,충청북도,음성군,음성읍,한벌리,산31-3 번지,,,36.9596435,127.7056645,27689,,충청북도 음성군 음성읍 한벌리 산 31-3,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,문의,N,N,N,N,2022-10-31
