month,tmax_avg,tmin_avg,precip_mm,heat33_days,heat35_days,cold12_days,cold15_days,rain30_days,rain60_days,wind14_days,sigunguCode,sigungu,seat_elevation_m
2,3.58,-5.64,32.54,0.0,0.0,3.07,1.13,0.1,0.0,0.0,15,평창군,300.0
3,8.99,-0.69,53.19,0.0,0.0,0.23,0.0,0.07,0.0,0.0,15,평창군,300.0
4,15.85,5.13,80.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,15,평창군,300.0
5,21.12,11.04,93.2,0.0,0.0,0.0,0.0,0.77,0.07,0.0,15,평창군,300.0
6,25.14,16.12,119.61,0.0,0.0,0.0,0.0,1.1,0.37,0.0,15,평창군,300.0
7,27.02,20.3,260.7,0.4,0.0,0.0,0.0,2.7,0.7,0.0,15,평창군,300.0
8,27.41,20.73,213.06,0.43,0.1,0.0,0.0,1.97,0.4,0.0,15,평창군,300.0
9,23.17,15.19,135.15,0.0,0.0,0.0,0.0,1.23,0.33,0.0,15,평창군,300.0
10,17.49,8.36,52.33,0.0,0.0,0.0,0.0,0.3,0.07,0.0,15,평창군,300.0
11,9.74,1.78,43.29,0.0,0.0,0.0,0.0,0.2,0.0,0.0,15,평창군,300.0
12,2.73,-4.84,26.04,0.0,0.0,3.1,0.97,0.0,0.0,0.0,15,평창군,300.0
1,0.83,-8.0,21.58,0.0,0.0,6.47,2.9,0.03,0.0,0.0,16,홍천군,173.0
2,4.07,-5.53,29.99,0.0,0.0,2.2,0.87,0.1,0.0,0.0,16,홍천군,173.0
3,9.59,-0.98,45.25,0.0,0.0,0.13,0.0,0.07,0.0,0.0,16,홍천군,173.0
4,16.24,4.3,80.11,0.0,0.0,0.0,0.0,0.47,0.03,0.0,16,홍천군,173.0
5,21.53,10.35,98.74,0.0,0.0,0.0,0.0,0.87,0.1,0.0,16,홍천군,173.0
6,25.69,15.81,113.4,0.07,0.0,0.0,0.0,1.13,0.17,0.0,16,홍천군,173.0
7,27.42,20.18,310.02,0.6,0.13,0.0,0.0,3.33,0.87,0.0,16,홍천군,173.0
8,27.84,20.58,240.89,0.87,0.1,0.0,0.0,2.4,0.73,0.0,16,홍천군,173.0
9,23.61,14.88,125.46,0.0,0.0,0.0,0.0,1.17,0.33,0.0,16,홍천군,173.0
10,17.73,7.74,53.88,0.0,0.0,0.0,0.0,0.37,0.1,0.0,16,홍천군,173.0
11,9.81,1.06,45.74,0.0,0.0,0.0,0.0,0.07,0.0,0.0,16,홍천군,173.0
12,2.84,-5.19,27.49,0.0,0.0,2.7,0.9,0.03,0.0,0.0,16,홍천군,173.0
1,0.73,-8.01,21.06,0.0,0.0,7.37,3.6,0.03,0.0,0.0,17,화천군,110.0
2,4.03,-5.39,27.12,0.0,0.0,2.73,1.27,0.1,0.0,0.0,17,화천군,110.0
3,9.79,-0.28,41.96,0.0,0.0,0.07,0.0,0.13,0.0,0.0,17,화천군,110.0
4,16.61,5.11,72.91,0.0,0.0,0.0,0.0,0.37,0.03,0.0,17,화천군,110.0
5,22.06,11.1,100.21,0.0,0.0,0.0,0.0,0.8,0.07,0.0,17,화천군,110.0
6,26.19,16.43,121.42,0.1,0.0,0.0,0.0,1.17,0.17,0.0,17,화천군,110.0
7,27.87,20.68,312.74,1.2,0.27,0.0,0.0,3.33,1.03,0.0,17,화천군,110.0
8,28.3,21.24,279.14,1.37,0.17,0.0,0.0,3.0,0.77,0.0,17,화천군,110.0
9,24.13,16.05,123.81,0.0,0.0,0.0,0.0,1.13,0.33,0.0,17,화천군,110.0
10,18.14,9.2,55.21,0.0,0.0,0.0,0.0,0.3,0.07,0.0,17,화천군,110.0
11,9.9,2.22,46.83,0.0,0.0,0.07,0.0,0.13,0.0,0.0,17,화천군,110.0
12,2.79,-4.5,26.08,0.0,0.0,2.8,0.97,0.03,0.0,0.0,17,화천군,110.0
1,1.14,-7.71,22.68,0.0,0.0,6.1,3.23,0.03,0.0,0.0,18,횡성군,148.0
2,4.39,-4.94,31.78,0.0,0.0,2.0,0.87,0.1,0.0,0.0,18,횡성군,148.0
3,10.09,-0.53,49.67,0.0,0.0,0.1,0.03,0.07,0.0,0.0,18,횡성군,148.0
4,16.91,4.74,84.59,0.0,0.0,0.0,0.0,0.5,0.03,0.0,18,횡성군,148.0
5,22.22,10.75,100.63,0.0,0.0,0.0,0.0,0.73,0.1,0.0,18,횡성군,148.0
6,26.37,16.15,122.94,0.23,0.0,0.0,0.0,1.23,0.3,0.0,18,횡성군,148.0
7,27.96,20.46,309.68,1.03,0.23,0.0,0.0,3.3,1.1,0.0,18,횡성군,148.0
8,28.43,20.84,241.89,1.7,0.17,0.0,0.0,2.43,0.67,0.0,18,횡성군,148.0
9,24.2,15.09,132.36,0.0,0.0,0.0,0.0,1.2,0.27,0.0,18,횡성군,148.0
10,18.27,7.86,60.2,0.0,0.0,0.0,0.0,0.37,0.1,0.0,18,횡성군,148.0
11,10.26,1.18,48.64,0.0,0.0,0.03,0.0,0.13,0.0,0.0,18,횡성군,148.0
12,3.08,-4.93,28.34,0.0,0.0,2.43,0.87,0.0,0.0,0.0,18,횡성군,148.0
